emp.var.rate,cons.price.idx,euribor3m,duration,poutcome_n
-1.8,92.893,1.299,371.0,1.0
1.1,93.994,4.86,285.0,0.0
-1.8,92.893,1.313,52.0,1.0
1.4,94.465,4.967,355.0,0.0
1.4,93.918,4.963,189.0,0.0
1.4,93.918,4.962,605.0,0.0
1.1,93.994,4.856,243.0,0.0
1.4,93.444,4.962,24.0,0.0
1.4,94.465,4.962,126.0,0.0
1.4,93.918,4.962,43.0,0.0
-1.8,92.893,1.313,451.0,0.0
-1.8,92.893,1.327,560.0,0.0
1.4,93.918,4.963,982.0,0.0
1.4,93.444,4.964,552.0,0.0
1.4,93.918,4.962,265.0,0.0
1.4,94.465,4.865,171.0,0.0
1.4,93.918,4.963,151.0,0.0
1.4,93.918,4.961,178.0,0.0
1.4,93.918,4.957,92.0,0.0
-2.9,92.201,0.873,399.0,1.0
1.4,93.918,4.962,1330.0,0.0
1.1,93.994,4.855,339.0,0.0
1.4,94.465,4.864,524.0,0.0
1.4,93.918,4.96,101.0,0.0
1.4,93.444,4.965,158.0,0.0
-2.9,92.963,1.215,60.0,0.0
-1.8,92.893,1.281,9.0,0.0
1.4,93.444,4.965,119.0,0.0
1.4,94.465,4.866,348.0,0.0
1.1,93.994,4.857,73.0,0.0
-2.9,92.469,1.072,148.0,0.0
-2.9,92.963,1.26,140.0,0.0
-1.1,94.601,0.959,649.0,0.0
1.4,93.918,4.963,911.0,0.0
1.4,94.465,4.962,835.0,0.0
1.4,94.465,4.962,49.0,0.0
1.4,93.444,4.962,289.0,0.0
-0.1,93.2,4.191,94.0,0.0
1.4,94.465,4.864,201.0,0.0
-0.1,93.2,4.12,72.0,0.0
-0.1,93.2,4.153,2.0,0.0
1.4,93.918,4.96,340.0,0.0
-1.1,94.601,1.029,234.0,2.0
1.1,93.994,4.856,51.0,0.0
-1.8,93.075,1.479,905.0,1.0
1.1,93.994,4.857,591.0,0.0
1.4,93.918,4.959,297.0,0.0
1.4,93.918,4.96,201.0,0.0
1.4,93.444,4.964,27.0,0.0
1.1,93.994,4.857,59.0,0.0
-1.8,92.893,1.299,934.0,1.0
-3.4,92.431,0.74,323.0,0.0
1.1,93.994,4.856,296.0,0.0
-1.8,92.893,1.281,302.0,2.0
1.4,93.918,4.96,722.0,0.0
1.4,93.918,4.962,338.0,0.0
-0.1,93.2,4.191,215.0,0.0
-0.1,93.2,4.021,63.0,0.0
-1.8,93.369,0.653,498.0,2.0
-1.8,93.075,1.405,89.0,0.0
-0.1,93.2,4.021,530.0,0.0
1.1,93.994,4.856,169.0,0.0
-0.1,93.2,4.021,189.0,1.0
1.1,93.994,4.86,276.0,0.0
-1.1,94.199,0.886,425.0,0.0
-0.1,93.2,4.076,110.0,0.0
-3.4,92.431,0.743,348.0,0.0
1.1,93.994,4.855,83.0,0.0
1.1,93.994,4.859,902.0,0.0
-2.9,92.201,0.843,349.0,0.0
1.4,93.918,4.968,225.0,0.0
-0.1,93.2,4.12,676.0,0.0
-1.8,92.893,1.299,295.0,1.0
-1.8,92.893,1.244,91.0,0.0
1.4,93.918,4.963,136.0,0.0
1.1,93.994,4.857,251.0,0.0
1.4,93.918,4.962,693.0,0.0
-0.1,93.2,4.191,92.0,1.0
-0.1,93.2,4.12,466.0,0.0
1.1,93.994,4.86,487.0,0.0
-1.8,92.893,1.291,527.0,0.0
1.4,93.918,4.962,97.0,0.0
1.1,93.994,4.856,409.0,0.0
1.4,93.918,4.963,249.0,0.0
1.1,93.994,4.86,218.0,0.0
-1.8,92.893,1.266,348.0,0.0
-1.8,92.893,1.281,80.0,0.0
1.4,93.918,4.963,535.0,0.0
-0.1,93.2,4.076,227.0,0.0
1.4,94.465,4.865,174.0,0.0
-0.1,93.2,4.021,7.0,0.0
-1.1,94.601,1.032,189.0,2.0
-0.1,93.2,4.153,179.0,0.0
-0.1,93.2,4.076,70.0,0.0
-3.4,92.431,0.739,186.0,1.0
